name,parent,swap
head,,
neck,head,
thorax,neck,
abdomen1,thorax,
abdomen2,abdomen1,
anttipL,,anttipR
antbaseL,anttipL,antbaseR
eyeL,antbaseL,eyeR
forelegL1,,forelegR1
forelegL2,forelegL1,forelegR2
forelegL3,forelegL2,forelegR3
forelegL4,forelegL3,forelegR4
midlegL1,,midlegR1
midlegL2,midlegL1,midlegR2
midlegL3,midlegL2,midlegR3
midlegL4,midlegL3,midlegR4
hindlegL1,,hindlegR1
hindlegL2,hindlegL1,hindlegR2
hindlegL3,hindlegL2,hindlegR3
hindlegL4,hindlegL3,hindlegR4
anttipR,,anttipL
antbaseR,anttipR,antbaseL
eyeR,antbaseR,eyeL
forelegR1,,forelegL1
forelegR2,forelegR1,forelegL2
forelegR3,forelegR2,forelegL3
forelegR4,forelegR3,forelegL4
midlegR1,,midlegL1
midlegR2,midlegR1,midlegL2
midlegR3,midlegR2,midlegL3
midlegR4,midlegR3,midlegL4
hindlegR1,,hindlegL1
hindlegR2,hindlegR1,hindlegL2
hindlegR3,hindlegR2,hindlegL3
hindlegR4,hindlegR3,hindlegL4